世界语单词,词性与重要性,候选汉字1,候选汉字2
daktil,名9,果,果
dialog,名9,对话,谈
ego/ist##,名9,自私,自
eklezi,名9,教堂,堂
emerit,名9,退,老
euxrop,名9,欧,欧
fajenc,名9,瓷,瓷
fazeol,名9,豆,豆
fontan,名9,泉,泉
formik,名9,蚁,虫
formul,名9,公式,式
fripon,名9,骗子,者
furagx,名9,旗,旗
galosx,名9,罩,鞋
gvardi,名9,守,队
gxemel,名9,双,对
hangar,名9,库,库
haring,名9,鲱,海
hazard,名9,风险,险
hektar,名9,公顷,地
herold,名9,使者,人
higien,名9,卫生,卫
impuls,名9,冲动,动
insign,名9,徽,章
intest,名9,肠,肠
jubile,名9,庆,庆
karton,名9,纸,纸
kasked,名9,帽,帽
kavern,名9,洞,洞
kirurg,名9,外,医
klimat,名9,气候,气
klinik,名9,诊所,中
kolegi,名9,大学,学
kolomb,名9,鸽,鸟
kolumn,名9,柱,队
komedi,名9,喜剧,剧
konsul,名9,领事,事
konval,名9,铃兰,花
kornik,名9,啄木鸟,鸟
kostum,名9,服装,服
kredit,名9,贷,信
kukurb,名9,瓜,瓜
kunikl,名9,兔,物
kurent,名9,电流,流
lacert,名9,蜥,蜥
licenc,名9,许,证
maleol,名9,踝,骨
materi,名9,物,料
mirtel,名9,莓,果
monstr,名9,怪,物
oficir,名9,官,军
orator,名9,演,者
papili,名9,蝴蝶,蝶
pendol,名9,摆,动
period,名9,时期,期
persik,名9,桃,果
pionir,名9,先锋,者
planed,名9,球,星
platan,名9,梧,树
plural,名9,群,合
profet,名9,先知,者
prolet,名9,无产者,工
pronom,名9,代,语
reakci,名9,反应,反
regxim,名9,政,政
rivolu,名9,革命,变
ruband,名9,带,带
skorpi,名9,蝎,蝎
spinac,名9,菠菜,菜
stamen,名9,雄蕊,生
statur,名9,身高,态
surtut,名9,大衣,衣
sxakal,名9,豺,豺
sxauxm,名9,泡,泡
teknik,名9,技,技
testud,名9,龟,龟
torent,名9,急,流
trafik,名9,交通,行
tumult,名9,混乱,动
turism,名9,旅,游
turist,名9,旅,者
vertic,名9,顶,峰
viktim,名9,受害者,者
violon,名9,小提琴,音
vulkan,名9,火山,岩
vultur,名9,秃鹰,者
abrikot,名9,杏,果
akademi,名9,学,学
alfabet,名9,字母,字
alumini,名9,铝,铝
ambasad,名9,馆,处
anekdot,名9,轶,事
apertur,名9,孔,口
apostol,名9,使徒,者
asemble,名9,集会,会
bagatel,名9,琐,小
bakteri,名9,细菌,菌
bandagx,名9,绷带,带
bifstek,名9,牛,牛
budgxet,名9,预算,资
burgxon,名9,堡,芽
central,名9,中,中
cirkvit,名9,电路,线
cxar/um##,名9,车,推
dimensi,名9,维度,度
ekvator,名9,赤道,带
element,名9,元素,分
epidemi,名9,疫,病
fantazi,名9,幻想,想
fenomen,名9,现象,象
gelaten,名9,凝,凝
general,名9,将,军
girland,名9,环,环
harmoni,名9,和,和
instanc,名9,裁,法
invalid,名9,残,者
kaldron,名9,锅,锅
kasxtan,名9,栗,栗
katalog,名9,目录,册
kirurgi,名9,外科,科
kolonel,名9,上校,长
komisar,名9,官,官
kompani,名9,公司,公
koncept,名9,概念,思
konkord,名9,和,和
konkurs,名9,竞赛,赛
koridor,名9,走廊,廊
kristal,名9,水晶,石
lantern,名9,灯,灯
latitud,名9,纬度,宽
medicin,名9,药,疗
mineral,名9,矿物,石
minimum,名9,最,微
ministr,名9,大臣,长
obstakl,名9,障,障
orkestr,名9,乐团,团
pacifik,名9,和,安
palpebr,名9,睑,盖
pantofl,名9,拖,鞋
paradiz,名9,天堂,地
paralel,名9,平行,等
plastik,名9,塑,塑
portret,名9,肖像,画
princip,名9,原则,准
program,名9,程序,程
projekt,名9,项目,划
proverb,名9,谚语,言
provinc,名9,省,区
rendevu,名9,约会,会
sin/ten##,名9,态,态
situaci,名9,情况,态
stadion,名9,场,场
subjekt,名9,对象,题
tehxnik,名9,技,工
tendenc,名9,趋势,性
tinktur,名9,染剂,色
tradici,名9,传统,规
tragedi,名9,悲剧,悲
traktat,名9,条约,约
trumpet,名9,喇叭,号
uniform,名9,制服,服
vegetal,名9,植物,园
viadukt,名9,桥,桥
volumen,名9,体积,量
zoologi,名9,动物学,学
atlantik,名9,洋,海
avantagx,名9,优势,益
bracelet,名9,手镯,手
cirkuler,名9,传,告
dokument,名9,文件,文
federaci,名9,联盟,联
generaci,名9,代,代
geografi,名9,地理,地
gramatik,名9,语法,语
gxendarm,名9,兵,兵
horizont,名9,天际,天
individu,名9,个,独
kandidat,名9,候选,者
karnaval,名9,嘉年华,节
kategori,名9,类,类
komun/um##,名9,共,共
krokodil,名9,鳄,龙
longitud,名9,长度,度
maksimum,名9,最高,极
marmelad,名9,果酱,酱
monument,名9,碑,碑
parasxut,名9,降落伞,降
pasagxer,名9,乘客,客
pland/um##,名9,底,底
porcelan,名9,瓷,瓷
procent,名9,率,比
profesor,名9,教授,教
radiator,名9,暖气片,器
regiment,名9,团,队
rekt/angul##,名9,矩形,形
sandvicx,名9,三,面
sindikat,名9,工会,联
singular,名9,单,一
specimen,名9,样品,样
spektakl,名9,剧,剧
substanc,名9,物质,物
teritori,名9,领土,地
vertikal,名9,垂直,立
ambasador,名9,大使,使
auxstrali,名9,澳,大
centimetr,名9,厘米,米
ekspozici,名9,展,展
inspektor,名9,督,查
kalkan/um##,名9,踵,跟
konfidenc,名9,信,信
lokomotiv,名9,火车,车
matematik,名9,数学,数
metalurgi,名9,冶,金
ministeri,名9,部,部
najtingal,名9,夜莺,鸟
ortografi,名9,法,字
parlament,名9,议会,法
proletari,名9,无产者,工
propozici,名9,提,议
psikologi,名9,心理,思
suplement,名9,补充,充
termometr,名9,计,温
elektronik,名9,电子,技
helikopter,名9,直升机,直
horizontal,名9,横,平
komplement,名9,补充,补
konsekvenc,名9,结果,果
konstituci,名9,宪法,法
laboratori,名9,室,验
leuxtenant,名9,中尉,长
mediterane,名9,地中海,海
substantiv,名9,名,名
universitat,名9,大学,学
s-ro##,名b,先生,师
s-ino##,名b,女,女
sinjor/in##,名b,女士,女
alk,名f,,鹿
aln,名f,,木
ann,名f,,女
bed,名f,,地
boa,名f,,蛇
buf,名f,,囊
cim,名f,,虫
col,名f,,米
dam,名f,,女
dig,名f,,堤
duk,名f,,爵
fav,名f,,病
fok,名f,,海
fut,名f,,米
gad,名f,,鱼
gam,名f,,音
gri,名f,,收
guf,名f,,枭
huz,名f,,鱼
kan,名f,,船
ken,名f,,剂
ker,名f,,心
kil,名f,,海
kuf,名f,,帽
kul,名f,,虫
kup,名f,,医
laf,名f,,岩
lir,名f,,乐
lod,名f,,泥
lol,名f,,植
mac,名f,,饼
mel,名f,,貉
mes,名f,,拜
mev,名f,,海
muf,名f,,霉
muk,名f,,液
mul,名f,,畜
nap,名f,,萝
peg,名f,,啄
pol,名f,,民
pul,名f,,跳
rap,名f,,萝
rif,名f,,海
rod,名f,,港
rot,名f,,队
rub,名f,,碎
rum,名f,,酒
rus,名f,,民
seb,名f,,油
sel,名f,,鞍
tez,名f,,论
tul,名f,,编
ulm,名f,,松
uln,名f,,骨
unc,名f,,单
urn,名f,,罐
vil,名f,,毛
abat,名f,,师
acer,名f,,枫
akar,名f,,虫
alte,名f,,高
alun,名f,,铝
amel,名f,,剂
anas,名f,,鸭
angl,名f,,人
aniz,名f,,香
ankr,名f,,泊
arcx,名f,,乐
arde,名f,,光
aren,名f,,场
atut,名f,,宝
avel,名f,,果
aviz,名f,,告
azot,名f,,化
bast,名f,,皮
bert,名f,,丽
blat,名f,,虫
bram,名f,,望
bran,名f,,农
burd,名f,,虫
cedr,名f,,松
citr,名f,,乐
cxam,名f,,鹿
cxan,名f,,锤
dogm,名f,,教
drak,名f,,龙
drog,名f,,药
ebon,名f,,黑
eter,名f,,剂
fabl,名f,,事
falk,名f,,者
fibr,名f,,织
flan,名f,,饼
flok,名f,,絮
flut,名f,,琴
fraj,名f,,卵
ftiz,名f,,病
gajl,名f,,植
gips,名f,,石
glan,名f,,果
glim,名f,,石
graf,名f,,贵
gril,名f,,虫
gros,名f,,果
gurd,名f,,琴
ibis,名f,,雀
idol,名f,,星
kalk,名f,,石
kand,名f,,糖
kard,名f,,卡
karo,名f,,形
kask,名f,,盔
kaze,名f,,凝
kegl,名f,,柱
klap,名f,,阀
klav,名f,,键
kluz,名f,,水
kojn,名f,,形
koks,名f,,腰
konk,名f,,贝
kren,名f,,香
krep,名f,,织
krop,名f,,鸟
krup,名f,,病
lake,名f,,湖
laks,名f,,弱
legi,名f,,队
lent,名f,,镜
lepr,名f,,病
lian,名f,,缠
lien,名f,,内
link,名f,,猫
liut,名f,,琴
lojt,名f,,鱼
lorn,名f,,望
lumb,名f,,腰
lutr,名f,,水
magi,名f,,术
mana,名f,,思
mari,名f,,莉
mask,名f,,面
masx,名f,,罩
mecx,名f,,芯
mejl,名f,,程
ment,名f,,智
merl,名f,,雀
mesi,名f,,者
mili,名f,,子
mirh,名f,,胶
mirt,名f,,果
misi,名f,,任
mops,名f,,犬
most,名f,,汁
nicx,名f,,建
omar,名f,,蟹
opal,名f,,石
ostr,名f,,海
paru,名f,,鸟
pecx,名f,,化
pelv,名f,,盆
perk,名f,,鱼
pest,名f,,病
petr,名f,,石
pini,名f,,松
pips,名f,,雀
plik,名f,,病
plot,名f,,鱼
popl,名f,,林
pram,名f,,船
sakr,名f,,圣
salm,名f,,渔
sepi,名f,,物
sofi,名f,,明
sorp,名f,,木
spat,名f,,矿
spin,名f,,骨
stab,名f,,军
step,名f,,地
stip,名f,,树
stof,名f,,布
stup,名f,,麻
sxak,名f,,棋
sxal,名f,,巾
sxam,名f,,革
taft,名f,,织
talp,名f,,物
tetr,名f,,鸟
tibi,名f,,骨
tili,名f,,树
tine,名f,,虫
torf,名f,,煤
trab,名f,,建
tref,名f,,牌
tril,名f,,波
trip,名f,,肠
trog,名f,,养
tron,名f,,座
truf,名f,,菌
trul,名f,,刀
trut,名f,,鱼
turd,名f,,雀
turk,名f,,族
turt,名f,,龟
uter,名f,,子
uxat,名f,,光
vafl,名f,,点
vals,名f,,舞
vekt,名f,,棒
zebr,名f,,马
altar,名f,,台
ambos,名f,,台
anton,名f,,托
ardez,名f,,岩
argil,名f,,土
aspid,名f,,蛇
balen,名f,,鲸
barcx,名f,,汤
boben,名f,,圈
brank,名f,,鳃
bubal,名f,,牛
bufed,名f,,餐
cejan,名f,,花
dativ,名f,,予
datur,名f,,种
demon,名f,,鬼
denar,名f,,财
deviz,名f,,言
domen,名f,,地
embri,名f,,生
emili,名f,,婷
ermen,名f,,林
ermit,名f,,者
facet,名f,,面
fazan,名f,,雉
femur,名f,,骨
filik,名f,,蕨
flegm,名f,,冷
fokus,名f,,聚
franc,名f,,人
frank,名f,,货
fring,名f,,鸟
galon,名f,,商
gazel,名f,,鹿
genot,名f,,传
georg,名f,,佐
gitar,名f,,弦
gland,名f,,腺
grosx,名f,,货
hebre,名f,,民
heder,名f,,藤
herez,名f,,异
herni,名f,,疝
hirud,名f,,生
hosti,名f,,饼
husar,名f,,兵
hxaos,名f,,
idili,名f,,田
johan,名f,,若
jozef,名f,,赛
kalik,名f,,杯
kambi,名f,,换
kamer,名f,,机
kanab,名f,,麻
kanap,名f,,沙
kapel,名f,,堂
kapon,名f,,止
kapor,名f,,草
kapot,名f,,衣
karas,名f,,鱼
karob,名f,,果
katun,名f,,布
kerub,名f,,天
kiras,名f,,装
klaft,名f,,寻
klosx,名f,,罩
koaks,名f,,焦
koleg,名f,,者
kolon,名f,,柱
komiz,名f,,员
komod,名f,,柜
konus,名f,,尖
kopek,名f,,币
koran,名f,,典
kramp,名f,,紧
kring,名f,,环
krisp,名f,,纹
krist,名f,,圣
kupol,名f,,顶
kvarc,名f,,石
kvart,名f,,室
lanug,名f,,毛
lauxr,名f,,树
libel,名f,,虫
liken,名f,,苔
livre,名f,,服
logxi,名f,,剧
lupol,名f,,苦
lustr,名f,,灯
luter,名f,,教
medal,名f,,章
meriz,名f,,果
moned,名f,,币
morus,名f,,果
mosxt,名f,,的
negoc,名f,,销
nobel,名f,,贵
novic,名f,,新
nuanc,名f,,味
oblat,名f,,药
okzal,名f,,种
orden,名f,,章
orgen,名f,,乐
pagxi,名f,,史
papav,名f,,粟
pariz,名f,,都
pauxl,名f,,罗
pavim,名f,,路
pedik,名f,,虫
percx,名f,,鱼
piked,名f,,哨
pilol,名f,,药
pirit,名f,,矿
pirol,名f,,雀
piroz,名f,,痛
pisxt,名f,,件
plusx,名f,,布
poent,名f,,点
pokal,名f,,杯
polus,名f,,废
potas,名f,,钾
prujn,名f,,霜
pudel,名f,,罐
pumik,名f,,岩
puncx,名f,,料
putor,名f,,豹
raben,名f,,师
rapir,名f,,剑
regol,名f,,则
rezin,名f,,胶
rostr,名f,,管
ruben,名f,,石
safir,名f,,石
salvi,名f,,植
sigel,名f,,封
silab,名f,,字
silik,名f,,硅
silur,名f,,鱼
silvi,名f,,雀
sirop,名f,,液
skabi,名f,,病
skadr,名f,,队
skarp,名f,,巾
skvam,名f,,鳞
sorik,名f,,鼠
spion,名f,,谍
spron,名f,,促
stabl,名f,,台
sturg,名f,,鱼
sturn,名f,,鸟
sxalm,名f,,笛
sxark,名f,,海
sxelk,名f,,裤
sxild,名f,,护
sxind,名f,,建
sxlim,名f,,土
taban,名f,,虫
tavol,名f,,台
tempi,名f,,侧
tetan,名f,,病
tetra,名f,,鸟
timon,名f,,棍
topaz,名f,,石
torcx,名f,,灯
tromb,名f,,风
tulip,名f,,花
ulcer,名f,,溃
urtik,名f,,草
vanil,名f,,香
vasal,名f,,臣
velen,名f,,毒
verst,名f,,解
vezir,名f,,长
vipur,名f,,蛇
vokal,名f,,音
zenit,名f,,顶
zibel,名f,,葱
zizel,名f,,鼠
absces,名f,,肿
absint,名f,,蒿
alcion,名f,,鸟
amfibi,名f,,生
ananas,名f,,果
artrit,名f,,关
atripl,名f,,植
berlin,名f,,区
bismut,名f,,铋
boraks,名f,,剂
buljon,名f,,汤
bulonj,名f,,区
busxel,名f,,量
centim,名f,,币
cikori,名f,,苣
cimbal,名f,,琴
cinabr,名f,,矿
cipres,名f,,培
cxarpi,名f,,布
damask,名f,,锦
delfen,名f,,海
didelf,名f,,袋
embusk,名f,,击
epolet,名f,,章
erinac,名f,,刺
ernest,名f,,斯
eskadr,名f,,舰
faktur,名f,,单
falbal,名f,,边
fantom,名f,,灵
faring,名f,,管
fenkol,名f,,种
ferdek,名f,,海
fistul,名f,,管
flanel,名f,,布
fosfor,名f,,肥
frangx,名f,,饰
furunk,名f,,病
fusten,名f,,布
galeri,名f,,馆
gamasx,名f,,袜
german,名f,,人
granat,名f,,果
granit,名f,,岩
grenad,名f,,弹
grifel,名f,,笔
gxiraf,名f,,动
haladz,名f,,恶
hamstr,名f,,鼠
hispan,名f,,人
hximer,名f,,时
hxoler,名f,,疫
ingven,名f,,沟
izrael,名f,,国
jasmen,名f,,花
kalesx,名f,,车
kalvin,名f,,畜
kamfor,名f,,香
kamlot,名f,,织
kanajl,名f,,匪
kanari,名f,,鸟
kantor,名f,,唱
kanvas,名f,,布
kapsul,名f,,囊
kapucx,名f,,帽
kardel,名f,,鸟
karmin,名f,,红
karpen,名f,,木
kastor,名f,,者
kaviar,名f,,味
kobalt,名f,,蓝
kobold,名f,,幻
kolbas,名f,,肠
kolibr,名f,,鸟
kolimb,名f,,水
kolubr,名f,,蛇
komuni,名f,,社
kontor,名f,,室
kontur,名f,,形
kornic,名f,,豆
korpus,名f,,军
koturn,名f,,鸟
kraken,名f,,食
kratag,名f,,林
krater,名f,,口
kronik,名f,,史
kurier,名f,,员
lampir,名f,,虫
laring,名f,,喉
lavang,名f,,滑
legend,名f,,事
lekant,名f,,花
lentug,名f,,点
levkoj,名f,,花
likvor,名f,,酒
litani,名f,,求
london,名f,,东
magnet,名f,,磁
makzel,名f,,下
mangan,名f,,化
markot,名f,,园
marmor,名f,,石
marmot,名f,,土
mastik,名f,,建
migdal,名f,,籽
miogal,名f,,貂
miozot,名f,,花
monahx,名f,,单
morbil,名f,,病
morter,名f,,泥
muskat,名f,,香
muslin,名f,,布
mustel,名f,,貂
nanken,名f,,布
narcis,名f,,花
nikola,名f,,内
notari,名f,,法
orakol,名f,,示
paletr,名f,,板
panter,名f,,豹
parget,名f,,面
parohx,名f,,伞
parter,名f,,剧
pastel,名f,,糖
patent,名f,,权
patrol,名f,,巡
pfenig,名f,,币
pistak,名f,,豆
pistol,名f,,枪
plastr,名f,,膏
platen,名f,,金
ponard,名f,,刀
porfir,名f,,石
porter,名f,,酒
primol,名f,,花
prunel,名f,,果
purpur,名f,,紫
rekrut,名f,,兵
rempar,名f,,墙
risort,名f,,泉
rosmar,名f,,海
rozari,名f,,珠
rubrik,名f,,目
safran,名f,,香
sambuk,名f,,草
sankci,名f,,许
sardel,名f,,鱼
sceptr,名f,,杖
selakt,名f,,乳
servic,名f,,子
servut,名f,,工
siring,名f,,花
skapol,名f,,肩
skarab,名f,,虫
skolop,名f,,鹬
skurgx,名f,,打
sofism,名f,,理
sopran,名f,,女
spalir,名f,,园
stefan,名f,,兵
sufiks,名f,,尾
sukcen,名f,,琥
sulfur,名f,,硫
talent,名f,,才
tambur,名f,,琴
tenden,名f,,向
teodor,名f,,德
termin,名f,,语
testik,名f,,生
timian,名f,,香
tombak,名f,,金
trahxe,名f,,解
tremol,名f,,动
tribun,名f,,台
tropik,名f,,热
turban,名f,,巾
turkis,名f,,矿
turnir,名f,,赛
urogal,名f,,雉
variol,名f,,病
viburn,名f,,花
vikari,名f,,助
vinagr,名f,,醋
vizier,名f,,帽
volupt,名f,,乐
ablativ,名f,,格
antimon,名f,,反
arleken,名f,,演
arsenik,名f,,毒
artifik,名f,,计
asparag,名f,,菜
bajonet,名f,,刀
bastion,名f,,地
beladon,名f,,色
biskvit,名f,,点
cxampan,名f,,泡
cxarnir,名f,,接
diamant,名f,,石
episkop,名f,,圣
esxafod,名f,,台
fraksen,名f,,木
frangol,名f,,花
fringel,名f,,鸟
genitiv,名f,,属
henriet,名f,,名
hidrarg,名f,,金
hiskiam,名f,,植
histrik,名f,,刺
jugland,名f,,果
juniper,名f,,松
kalikot,名f,,布
kamizol,名f,,衣
kamomil,名f,,花
kapitan,名f,,长
kapitel,名f,,节
kapreol,名f,,鹿
kapucen,名f,,僧
karaben,名f,,枪
kartocx,名f,,药
karusel,名f,,转
kavalir,名f,,战
klarnet,名f,,明
klister,名f,,肠
koklusx,名f,,病
kolofon,名f,,胶
kompres,名f,,缩
kurator,名f,,管
kvitanc,名f,,凭
leontod,名f,,花
leopard,名f,,豹
limonad,名f,,饮
lonicer,名f,,花
ludovik,名f,,德
lunatik,名f,,者
maroken,名f,,皮
marsxal,名f,,军
meleagr,名f,,禽
membran,名f,,层
mihxael,名f,,尔
monarhx,名f,,王
mustard,名f,,料
negligx,名f,,裙
nikodem,名f,,德
novjork,名f,,都
oksigen,名f,,氧
oksikok,名f,,花
parazit,名f,,虫
pastecx,名f,,饼
pelikan,名f,,鸟
perdrik,名f,,雀
poligon,名f,,形
prefiks,名f,,首
redakci,名f,,编
rinocer,名f,,兽
salpetr,名f,,剂
sentenc,名f,,言
skarlat,名f,,红
skorbut,名f,,病
skrofol,名f,,病
smerald,名f,,石
sterled,名f,,鱼
stertor,名f,,喘
sxiller,名f,,技
umbilik,名f,,穴
univers,名f,,星
varsovi,名f,,都
verdigr,名f,,绿
vertebr,名f,,柱
vespert,名f,,飞
vestibl,名f,,门
vilhelm,名f,,伟
virtuoz,名f,,家
vitriol,名f,,酸
zingibr,名f,,姜
akcipitr,名f,,鹰
akuzativ,名f,,控
argument,名f,,论
arhxaism,名f,,旧
artisxok,名f,,植
baldaken,名f,,帐
briliant,名f,,光
diplomat,名f,,员
distrikt,名f,,区
elizabet,名f,,利
fragment,名f,,片
framason,名f,,会
frugileg,名f,,鸟
hidrogen,名f,,氢
hortulan,名f,,者
institut,名f,,学
kantarid,名f,,虫
kariofil,名f,,香
kartilag,名f,,软
katarakt,名f,,流
kocxenil,名f,,色
kokcinel,名f,,虫
konvulsi,名f,,动
leksikon,名f,,辞
marcipan,名f,,糖
medalion,名f,,章
monarhxi,名f,,君
obstrukc,名f,,阻
paradoks,名f,,常
parentez,名f,,注
particip,名f,,分
pasament,名f,,想
pastinak,名f,,菜
pergamen,名f,,文
peritone,名f,,膜
perlamot,名f,,宝
petromiz,名f,,鱼
petrosel,名f,,香
ranunkol,名f,,花
redaktor,名f,,编
rezultat,名f,,果
rosmaren,名f,,香
sergxent,名f,,兵
sublimat,名f,,高
tacxment,名f,,队
terebint,名f,,油
tornistr,名f,,包
zamenhof,名f,,者
aleksandr,名f,,雄
anunciaci,名f,,示
balustrad,名f,,栏
cxambelan,名f,,随
cxarlatan,名f,,医
deklinaci,名f,,变
diplomati,名f,,交
ekscelenc,名f,,贵
ekzempler,名f,,样
entuziasm,名f,,热
fortepian,名f,,音
galanteri,名f,,妆
ihxtiokol,名f,,带
instituci,名f,,机
instrukci,名f,,教
kancelari,名f,,政
kancelier,名f,,法
kataplasm,名f,,敷
kondolenc,名f,,哀
konjugaci,名f,,变
konjunkci,名f,,词
konsonant,名f,,音
korporaci,名f,,会
kvaranten,名f,,封
nominativ,名f,,名
pentekost,名f,,日
piedestal,名f,,台
prepozici,名f,,词
privilegi,名f,,权
promontor,名f,,海
salamandr,名f,,士
testament,名f,,遗
vermicxel,名f,,面
interjekci,名f,,词
supersticx,名f,,术
vasxington,名f,,政
violoncxel,名f,,乐
arhxitektur,名f,,图
interpunkci,名f,,号
jork,名i,,都
parok,名i,,教
navig,名i,,航
kaos,名n,,乱
kimer,名n,,幻
korus,名n,,唱
monak,名n,,僧
iktiokol,名n,,鱼
ald,名o,,乐
alo,名o,,植
api,名o,,菜
ari,名o,,曲
bas,名o,,音
car,名o,,大
dog,名o,,犬
dok,名o,,码
doz,名o,,药
ego,名o,,自
elf,名o,,灵
etn,名o,,族
faz,名o,,阶
fon,名o,,景
fuk,名o,,藻
gaz,名o,,布
gem,名o,,石
hum,名o,,土
jod,名o,,变
jud,名o,,者
kep,名o,,帽
lat,名o,,建
lob,名o,,狼
mim,名o,,演
mit,名o,,幻
muz,名o,,文
nas,名o,,渔
nav,名o,,船
niz,名o,,雕
oaz,名o,,地
opi,名o,,药
puf,名o,,张
raj,名o,,海
ras,名o,,类
ref,名o,,海
rit,名o,,礼
rut,名o,,园
sod,名o,,剂
tif,名o,,病
tog,名o,,装
viz,名o,,证
agat,名o,,石
agxi,名o,,商
alen,名o,,尖
ambr,名o,,香
amor,名o,,爱
aort,名o,,血
arom,名o,,香
astm,名o,,气
astr,名o,,星
azil,名o,,院
bard,名o,,吟
bomb,名o,,弹
bosk,名o,,林
brom,名o,,溴
bust,名o,,上
cend,名o,,币
cidr,名o,,果
cirk,名o,,圆
dali,名o,,花
dign,名o,,威
duel,名o,,斗
duet,名o,,合
ebur,名o,,牙
eden,名o,,地
egid,名o,,护
erik,名o,,植
etik,名o,,德
etim,名o,,源
fars,名o,,剧
fili,名o,,分
fisk,名o,,库
furi,名o,,报
gnom,名o,,灵
grog,名o,,酒
gruz,名o,,石
gxin,名o,,酒
hidr,名o,,龙
hien,名o,,兽
irid,名o,,花
iris,名o,,目
istm,名o,,地
jesu,名o,,主
junk,名o,,植
kabl,名o,,线
kali,名o,,钾
kame,名o,,演
kast,名o,,城
klor,名o,,剂
kofr,名o,,箱
kolz,名o,,植
kont,名o,,账
krab,名o,,蟹
kres,名o,,信
kupe,名o,,室
laik,名o,,人
lama,名o,,师
lanc,名o,,枪
lens,名o,,理
lord,名o,,贵
malt,名o,,芽
mani,名o,,迷
medi,名o,,域
milv,名o,,者
mitr,名o,,宗
moru,名o,,鱼
mosk,名o,,香
mumi,名o,,体
naft,名o,,油
negr,名o,,黑
nimb,名o,,光
norm,名o,,规
obol,名o,,品
ogiv,名o,,建
orgi,名o,,宴
ozon,名o,,保
penc,名o,,笔
pleb,名o,,民
podi,名o,,台
polk,名o,,舞
pomp,名o,,丽
pore,名o,,菜
rabi,名o,,病
rism,名o,,合
romb,名o,,形
rubl,名o,,财
sabr,名o,,兵
sagu,名o,,粉
sald,名o,,存
salv,名o,,击
sekt,名o,,派
sfer,名o,,球
skem,名o,,图
skol,名o,,学
slip,名o,,纸
sokl,名o,,台
sold,名o,,品
sole,名o,,鱼
spad,名o,,剑
sxah,名o,,王
talk,名o,,矿
teni,名o,,虫
tiar,名o,,冠
tink,名o,,鱼
tors,名o,,架
tost,名o,,庆
trop,名o,,喻
turb,名o,,速
ukaz,名o,,诏
ulan,名o,,兵
uzur,名o,,占
verv,名o,,热
vink,名o,,花
visk,名o,,生
vist,名o,,游
vizi,名o,,幻
zuav,名o,,兵
abism,名o,,渊
adept,名o,,者
afiks,名o,,词
afust,名o,,架
agraf,名o,,扣
akaci,名o,,槐
akciz,名o,,税
aksel,名o,,凹
albin,名o,,白
alibi,名o,,明
aline,名o,,段
alkov,名o,,室
amfor,名o,,罐
angin,名o,,炎
angor,名o,,苦
anten,名o,,线
apati,名o,,不
apoge,名o,,巅
arkad,名o,,商
arkiv,名o,,记
arnik,名o,,植
atlas,名o,,图
atlet,名o,,动
aviad,名o,,航
balad,名o,,歌
balet,名o,,剧
barak,名o,,强
baron,名o,,贵
basen,名o,,池
beril,名o,,石
bibli,名o,,经
bigot,名o,,者
biret,名o,,帽
bitum,名o,,材
bivak,名o,,营
brecx,名o,,裂
brocx,名o,,针
bronk,名o,,管
cigan,名o,,者
cikut,名o,,草
cxifr,名o,,密
debat,名o,,辩
dekan,名o,,长
dilem,名o,,难
diluv,名o,,灾
divan,名o,,沙
dolar,名o,,币
drakm,名o,,资
dukat,名o,,金
edikt,名o,,令
eklog,名o,,诗
ekzem,名o,,疹
elegi,名o,,哀
elips,名o,,省
elizi,名o,,省
emfaz,名o,,注
epope,名o,,诗
fagot,名o,,樂
fakir,名o,,者
fatal,名o,,命
feuxd,名o,,史
fiakr,名o,,车
fiask,名o,,败
final,名o,,终
fjord,名o,,海
forum,名o,,会
fresk,名o,,画
furor,名o,,流
galer,名o,,艇
galop,名o,,奔
garol,名o,,鸟
goril,名o,,动
hamak,名o,,吊
harem,名o,,女
harpi,名o,,琴
helic,名o,,动
helik,名o,,螺
hisop,名o,,植
hoboj,名o,,音
humer,名o,,骨
idiom,名o,,语
idiot,名o,,笨
ileks,名o,,叶
iluzi,名o,,幻
indig,名o,,蓝
jalap,名o,,药
jud/ism##,名o,,教
kabal,名o,,教
kadet,名o,,军
kalif,名o,,主
kanon,名o,,炮
karat,名o,,量
kazin,名o,,室
kinin,名o,,药
kirsx,名o,,酒
kloak,名o,,污
kobaj,名o,,鼠
kokon,名o,,丝
kolik,名o,,患
kolos,名o,,大
komet,名o,,星
koral,名o,,珊
korne,名o,,角
korol,名o,,冠
kozak,名o,,克
krabr,名o,,蜂
kreol,名o,,合
kript,名o,,密
kulis,名o,,幕
kumin,名o,,香
kvast,名o,,刷
kvint,名o,,音
lagun,名o,,湖
lapis,名o,,盐
larik,名o,,树
later,名o,,边
lazur,名o,,蓝
legat,名o,,教
lirik,名o,,歌
madon,名o,,圣
major,名o,,军
mamut,名o,,物
medol,名o,,意
meduz,名o,,生
melas,名o,,糖
melis,名o,,蜂
miasm,名o,,气
mimoz,名o,,花
mitul,名o,,贝
moske,名o,,教
motiv,名o,,动
natri,名o,,钠
nikel,名o,,材
nimfe,名o,,水
noktu,名o,,鸮
nomad,名o,,牧
novel,名o,,文
nunci,名o,,教
oksid,名o,,化
oktav,名o,,音
oniks,名o,,矿
optik,名o,,光
orbit,名o,,轨
oriol,名o,,鸟
ovaci,名o,,赞
pagod,名o,,堂
panel,名o,,板
panik,名o,,恐
paraf,名o,,文
